"module name","license","repository"
"@eslint/js@10.0.1","MIT","https://github.com/eslint/eslint"
"@eslint/markdown@8.0.3","MIT","https://github.com/eslint/markdown"
"@eslint/object-schema@3.0.5","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.7.2","Apache-2.0","https://github.com/eslint/rewrite"
"@exodus/bytes@1.15.1","MIT","https://github.com/ExodusOSS/bytes"
"@fast-csv/format@4.3.5","MIT","https://github.com/C2FO/fast-csv"
"@fast-csv/parse@4.3.6","MIT","https://github.com/C2FO/fast-csv"
"@fastify/accept-negotiator@2.0.1","MIT","https://github.com/fastify/accept-negotiator"
"@floating-ui/core@1.8.0","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.8.0","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.12","MIT","https://github.com/floating-ui/floating-ui"
"@gar/promise-retry@1.0.3","MIT","https://github.com/wraithgar/node-promise-retry"
"@graphql-typed-document-node/core@3.2.0","MIT","https://github.com/dotansimha/graphql-typed-document-node"
"@grpc/grpc-js@1.14.4","Apache-2.0","https://github.com/grpc/grpc-node.git#master"
"@grpc/proto-loader@0.8.1","Apache-2.0","https://github.com/grpc/grpc-node"
"@gtm-support/core@3.0.1","MIT","https://github.com/gtm-support/core"
"@gtm-support/vue-gtm@3.2.0","MIT","https://github.com/gtm-support/vue-gtm"
"@hapi/address@5.1.1","BSD-3-Clause","https://github.com/hapijs/address"
"@hapi/formula@3.0.2","BSD-3-Clause","https://github.com/hapijs/formula"
"@hapi/hoek@11.0.7","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/hoek@9.3.0","BSD-3-Clause","https://github.com/hapijs/hoek"
"@hapi/pinpoint@2.0.1","BSD-3-Clause","https://github.com/hapijs/pinpoint"
"@hapi/tlds@1.1.7","BSD-3-Clause","https://github.com/hapijs/tlds"
"@hapi/topo@5.1.0","BSD-3-Clause","https://github.com/hapijs/topo"
"@hapi/topo@6.0.2","BSD-3-Clause","https://github.com/hapijs/topo"
"@humanfs/core@0.19.2","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.8","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/types@0.15.0","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@img/colour@1.1.0","MIT","https://github.com/lovell/colour"
"@img/sharp-darwin-arm64@0.35.3","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-libvips-darwin-arm64@1.3.2","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@inquirer/ansi@1.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/checkbox@4.3.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/confirm@5.1.21","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/core@10.3.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/editor@4.2.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/expand@4.0.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/external-editor@1.0.3","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/figures@1.0.15","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/input@4.3.1","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/number@3.0.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/password@4.0.23","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/prompts@7.10.1","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/rawlist@4.1.11","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/search@3.2.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/select@4.4.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/type@3.0.10","MIT","https://github.com/SBoudrias/Inquirer.js"
"@intlify/bundle-utils@11.2.4","MIT","https://github.com/intlify/bundle-tools"
"@intlify/core-base@11.4.6","MIT","https://github.com/intlify/vue-i18n"
"@intlify/core-base@11.4.7","MIT","https://github.com/intlify/vue-i18n"
"@intlify/core@11.4.7","MIT","https://github.com/intlify/vue-i18n"
"@intlify/devtools-types@11.4.6","MIT","https://github.com/intlify/vue-i18n"
"@intlify/devtools-types@11.4.7","MIT","https://github.com/intlify/vue-i18n"
"@intlify/eslint-plugin-vue-i18n@4.5.1","MIT","https://github.com/intlify/eslint-plugin-vue-i18n"
"@intlify/h3@0.7.4","MIT","https://github.com/intlify/h3"
"@intlify/message-compiler@11.4.6","MIT","https://github.com/intlify/vue-i18n"
"@intlify/message-compiler@11.4.7","MIT","https://github.com/intlify/vue-i18n"
"@intlify/shared@11.4.6","MIT","https://github.com/intlify/vue-i18n"
"@intlify/shared@11.4.7","MIT","https://github.com/intlify/vue-i18n"
"@intlify/unplugin-vue-i18n@11.2.4","MIT","https://github.com/intlify/bundle-tools"
"@intlify/utils@0.13.0","MIT","https://github.com/intlify/utils"
"@intlify/utils@0.14.1","MIT","https://github.com/intlify/utils"
"@intlify/vue-i18n-extensions@8.0.0","MIT","https://github.com/intlify/vue-i18n-extensions"
"@ioredis/commands@1.10.0","MIT","https://github.com/ioredis/commands"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@isaacs/fs-minipass@4.0.1","ISC","https://github.com/npm/fs-minipass"
"@isaacs/string-locale-compare@1.1.0","ISC","https://github.com/isaacs/string-locale-compare"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/source-map@0.3.11","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@js-sdsl/ordered-map@4.4.2","MIT","https://github.com/js-sdsl/js-sdsl"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@json-render/core@0.19.0","Apache-2.0","https://github.com/vercel-labs/json-render"
"@koa/router@12.0.2","MIT","https://github.com/koajs/router"
"@kwsites/file-exists@1.1.1","MIT","https://github.com/kwsites/file-exists"
"@kwsites/promise-deferred@1.1.1","MIT","https://github.com/kwsites/promise-deferred"
"@manypkg/find-root@1.1.0","MIT",""
"@manypkg/get-packages@1.1.3","MIT",""
"@mapbox/node-pre-gyp@2.0.3","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@mdx-js/react@3.1.1","MIT","https://github.com/mdx-js/mdx"
"@miyaneee/rollup-plugin-json5@1.2.0","MIT","https://github.com/Miyaneee/rollup-plugin-json5"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib.git#master"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib.git#master"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib.git#master"
"@npmcli/agent@4.0.2","ISC","https://github.com/npm/agent"
"@npmcli/arborist@9.9.0","ISC","https://github.com/npm/cli"
"@npmcli/config@10.12.0","ISC","https://github.com/npm/cli"
"@npmcli/fs@5.0.0","ISC","https://github.com/npm/fs"
"@npmcli/git@7.0.2","ISC","https://github.com/npm/git"
